row,time_sec,step_index,step_label,step_duration_sec,step_position,osc1_freq_hz,osc1_lum,osc1_duty,osc2_freq_hz,osc2_lum,osc2_duty,osc3_freq_hz,osc3_lum,osc3_duty,osc4_freq_hz,osc4_lum,osc4_duty,main_cycle_seconds,displayed_row_seconds,row_40_56_hex,osc1_cycles,osc1_achieved_freq_hz,osc2_cycles,osc2_achieved_freq_hz,osc3_cycles,osc3_achieved_freq_hz,osc4_cycles,osc4_achieved_freq_hz
1,0.0,1,soft_warmup,10.0,0.0,60.0,0,50,60.0,0,50,60.0,0,50,60.0,0,50,2.5,1.0,00 01 00 14 e8 03 01 01 0a 00 00 00 01 00 00 00,150,60.0,150,60.0,150,60.0,150,60.0
2,1.0,1,soft_warmup,10.0,0.1111111111111111,54.44444444444444,3,49,54.44444444444444,3,49,60.0,2,50,60.0,2,50,2.5,1.0,00 01 00 14 e8 03 01 01 0a 00 00 00 01 00 00 00,136,54.4,136,54.4,150,60.0,150,60.0
3,2.0,1,soft_warmup,10.0,0.2222222222222222,48.888888888888886,6,49,48.888888888888886,6,49,60.0,3,50,60.0,3,50,2.5,1.0,00 01 00 14 e8 03 01 01 0a 00 00 00 01 00 00 00,122,48.8,122,48.8,150,60.0,150,60.0
4,3.0,1,soft_warmup,10.0,0.3333333333333333,43.333333333333336,8,48,43.333333333333336,8,48,60.0,5,50,60.0,5,50,2.5,1.0,00 01 00 14 e8 03 01 01 0a 00 00 00 01 00 00 00,108,43.2,108,43.2,150,60.0,150,60.0
5,4.0,1,soft_warmup,10.0,0.4444444444444444,37.77777777777778,11,48,37.77777777777778,11,48,60.0,7,50,60.0,7,50,2.5,1.0,00 01 00 14 e8 03 01 01 0a 00 00 00 01 00 00 00,94,37.6,94,37.6,150,60.0,150,60.0
6,5.0,1,soft_warmup,10.0,0.5555555555555556,32.22222222222222,14,47,32.22222222222222,14,47,60.0,8,50,60.0,8,50,2.5,1.0,00 01 00 14 e8 03 01 01 0a 00 00 00 01 00 00 00,81,32.4,81,32.4,150,60.0,150,60.0
7,6.0,1,soft_warmup,10.0,0.6666666666666666,26.66666666666667,17,47,26.66666666666667,17,47,60.0,10,50,60.0,10,50,2.5,1.0,00 01 00 14 e8 03 01 01 0a 00 00 00 01 00 00 00,67,26.8,67,26.8,150,60.0,150,60.0
8,7.0,1,soft_warmup,10.0,0.7777777777777778,21.111111111111107,19,46,21.111111111111107,19,46,60.0,12,50,60.0,12,50,2.5,1.0,00 01 00 14 e8 03 01 01 0a 00 00 00 01 00 00 00,53,21.2,53,21.2,150,60.0,150,60.0
9,8.0,1,soft_warmup,10.0,0.8888888888888888,15.555555555555557,22,46,15.555555555555557,22,46,60.0,13,50,60.0,13,50,2.5,1.0,00 01 00 14 e8 03 01 01 0a 00 00 00 01 00 00 00,39,15.6,39,15.6,150,60.0,150,60.0
10,9.0,1,soft_warmup,10.0,1.0,10.0,25,45,10.0,25,45,60.0,15,50,60.0,15,50,2.5,1.0,00 01 00 14 e8 03 01 01 0a 00 00 00 01 00 00 00,25,10.0,25,10.0,150,60.0,150,60.0
11,10.0,2,alpha_lock,20.0,0.0,10.0,35,50,10.0,35,50,10.0,20,50,10.0,20,50,2.5,1.0,00 01 00 14 e8 03 01 01 0a 00 00 00 01 00 00 00,25,10.0,25,10.0,25,10.0,25,10.0
12,11.0,2,alpha_lock,20.0,0.05263157894736842,10.0,35,50,10.0,35,50,10.0,20,50,10.0,20,50,2.5,1.0,00 01 00 14 e8 03 01 01 0a 00 00 00 01 00 00 00,25,10.0,25,10.0,25,10.0,25,10.0
13,12.0,2,alpha_lock,20.0,0.10526315789473684,10.0,35,50,10.0,35,50,10.0,20,50,10.0,20,50,2.5,1.0,00 01 00 14 e8 03 01 01 0a 00 00 00 01 00 00 00,25,10.0,25,10.0,25,10.0,25,10.0
14,13.0,2,alpha_lock,20.0,0.15789473684210525,10.0,35,50,10.0,35,50,10.0,20,50,10.0,20,50,2.5,1.0,00 01 00 14 e8 03 01 01 0a 00 00 00 01 00 00 00,25,10.0,25,10.0,25,10.0,25,10.0
15,14.0,2,alpha_lock,20.0,0.21052631578947367,10.0,35,50,10.0,35,50,10.0,20,50,10.0,20,50,2.5,1.0,00 01 00 14 e8 03 01 01 0a 00 00 00 01 00 00 00,25,10.0,25,10.0,25,10.0,25,10.0
16,15.0,2,alpha_lock,20.0,0.2631578947368421,10.0,35,50,10.0,35,50,10.0,20,50,10.0,20,50,2.5,1.0,00 01 00 14 e8 03 01 01 0a 00 00 00 01 00 00 00,25,10.0,25,10.0,25,10.0,25,10.0
17,16.0,2,alpha_lock,20.0,0.3157894736842105,10.0,35,50,10.0,35,50,10.0,20,50,10.0,20,50,2.5,1.0,00 01 00 14 e8 03 01 01 0a 00 00 00 01 00 00 00,25,10.0,25,10.0,25,10.0,25,10.0
18,17.0,2,alpha_lock,20.0,0.3684210526315789,10.0,35,50,10.0,35,50,10.0,20,50,10.0,20,50,2.5,1.0,00 01 00 14 e8 03 01 01 0a 00 00 00 01 00 00 00,25,10.0,25,10.0,25,10.0,25,10.0
19,18.0,2,alpha_lock,20.0,0.42105263157894735,10.0,35,50,10.0,35,50,10.0,20,50,10.0,20,50,2.5,1.0,00 01 00 14 e8 03 01 01 0a 00 00 00 01 00 00 00,25,10.0,25,10.0,25,10.0,25,10.0
20,19.0,2,alpha_lock,20.0,0.47368421052631576,10.0,35,50,10.0,35,50,10.0,20,50,10.0,20,50,2.5,1.0,00 01 00 14 e8 03 01 01 0a 00 00 00 01 00 00 00,25,10.0,25,10.0,25,10.0,25,10.0
21,20.0,2,alpha_lock,20.0,0.5263157894736842,10.0,35,50,10.0,35,50,10.0,20,50,10.0,20,50,2.5,1.0,00 01 00 14 e8 03 01 01 0a 00 00 00 01 00 00 00,25,10.0,25,10.0,25,10.0,25,10.0
22,21.0,2,alpha_lock,20.0,0.5789473684210527,10.0,35,50,10.0,35,50,10.0,20,50,10.0,20,50,2.5,1.0,00 01 00 14 e8 03 01 01 0a 00 00 00 01 00 00 00,25,10.0,25,10.0,25,10.0,25,10.0
23,22.0,2,alpha_lock,20.0,0.631578947368421,10.0,35,50,10.0,35,50,10.0,20,50,10.0,20,50,2.5,1.0,00 01 00 14 e8 03 01 01 0a 00 00 00 01 00 00 00,25,10.0,25,10.0,25,10.0,25,10.0
24,23.0,2,alpha_lock,20.0,0.6842105263157895,10.0,35,50,10.0,35,50,10.0,20,50,10.0,20,50,2.5,1.0,00 01 00 14 e8 03 01 01 0a 00 00 00 01 00 00 00,25,10.0,25,10.0,25,10.0,25,10.0
25,24.0,2,alpha_lock,20.0,0.7368421052631579,10.0,35,50,10.0,35,50,10.0,20,50,10.0,20,50,2.5,1.0,00 01 00 14 e8 03 01 01 0a 00 00 00 01 00 00 00,25,10.0,25,10.0,25,10.0,25,10.0
